nome,categoria,quantidade,preco
Mouse Gamer,Perifericos,10,149.90
Teclado Mecânico,Perifericos,3,249.90
Monitor 24,Monitores,1,899.00
SSD 1TB,Armazenamento,12,399.00
Cabo HDMI,Cabos,30,29.90
Webcam Full HD,Perifericos,7,199.90
Headset Gamer,Perifericos,5,299.00
Mousepad RGB,Perifericos,15,89.90
Gabinete Mid Tower,Perifericos,2,349.00
Monitor 27,Monitores,3,1199.00
HD Externo 2TB,Armazenamento,8,479.00
SSD NVMe 512GB,Armazenamento,10,329.00
Pendrive 64GB,Armazenamento,50,59.90
Switch HDMI,Cabos,12,89.90
Cabo USB-C,Cabos,40,19.90
Estabilizador 500VA,Perifericos,4,229.00
Leitor de Cartão SD,Perifericos,20,39.90
Hub USB 4 portas,Perifericos,25,49.90
Teclado sem fio,Perifericos,6,189.90
Adaptador HDMI para VGA,Cabos,18,34.90
Cabo de rede 5m,Cabos,30,24.90
Monitor Curvo 32,Monitores,2,1499.00
